brand,model,top_speed_kmh,battery_capacity_kWh,number_of_cells,torque_nm,efficiency_wh_per_km,acceleration_0_100_s,fast_charging_power_kw_dc,towing_capacity_kg,cargo_volume_l,seats,drivetrain,segment,car_body_type,expected_range_km
Ford,e-Tourneo Custom L2 160 kW,150,64,0,415,370,9,70,2000,672,8,RWD,N - Passenger Van,Small Passenger Van,173
Ford,e-Tourneo Custom L2 210 kW,150,64,0,415,370,8,70,2000,672,8,RWD,N - Passenger Van,Small Passenger Van,173
GWM,ORA 03 48 kWh,160,45.4,0,250,146,8.3,45,0,228,5,FWD,C - Medium,Hatchback,311
GWM,ORA 03 63 kWh,160,59.3,0,250,141,8.2,56,0,228,5,FWD,C - Medium,Hatchback,421
GWM,ORA 03 GT,160,59.3,0,250,148,8.2,56,0,228,5,FWD,C - Medium,Hatchback,401
GWM,ORA 07 GT,180,83.5,0,680,161,4.5,80,0,333,5,AWD,D - Large,Sedan,519
GWM,ORA 07 Pro,170,64.3,0,340,146,8.2,75,0,333,5,FWD,D - Large,Sedan,440
GWM,ORA 07 Pure,170,64.3,0,340,146,8.2,75,0,333,5,FWD,D - Large,Sedan,440
Genesis,G80 Electrified Luxury,225,82.5,0,700,159,4.9,160,0,354,5,AWD,F - Luxury,Sedan,519
Genesis,GV60 Premium,185,74,384,350,143,7.8,200,1600,432,5,RWD,JC - Medium,SUV,517
Genesis,GV60 Sport,200,74,384,605,157,5.5,200,1600,432,5,AWD,JC - Medium,SUV,471
Genesis,GV60 Sport Plus,235,74,384,700,159,4,200,1600,432,5,AWD,JC - Medium,SUV,465
Genesis,GV70 Electrified Sport,235,74,384,700,163,4.2,190,1800,503,5,AWD,JD - Large,SUV,454
Honda,e:Ny1,160,61.9,0,310,150,7.6,60,0,361,5,FWD,JB - Compact,SUV,413
Hongqi,E-HS9 120 kWh,200,112,0,750,217,4.9,110,1500,438,5,AWD,JF - Luxury,SUV,516
Hongqi,E-HS9 84 kWh,200,76.5,0,600,193,6.5,112,1500,438,5,AWD,JF - Luxury,SUV,396
Hongqi,E-HS9 99 kWh,200,90,0,750,194,4.9,112,1500,438,5,AWD,JF - Luxury,SUV,464
Hyundai,INSTER Long Range,150,46,0,147,124,10.6,70,0,280,4,FWD,JA - Mini,SUV,371
Hyundai,INSTER Standard Range,140,39,0,147,119,11.7,60,0,280,4,FWD,JA - Mini,SUV,328
Hyundai,IONIQ 5 63 kWh RWD (MY24),185,60,288,350,136,8.5,150,750,520,5,RWD,JC - Medium,SUV,441
Hyundai,IONIQ 5 84 kWh AWD (MY24),185,80,384,605,162,5.3,205,1600,520,5,AWD,JC - Medium,SUV,494
